Name,No,Date,Pitch_Type,Is_Strike,Strike_Zone_Side,Strike_Zone_Height,球速,回転数,True_Spin_release,回転効率,Spin_Direction,Spin_Confidence,VB_trajectory,HB_trajectory,VB_spin,HB_spin,Horizontal_Angle,Release_Angle,Release_Height,Release_Side,Release_Extension_ft,Gyro_Degree_deg,,,,,,,,,,,,,,,,,,,,,,
小林,4,2025/1/9,Fastball,Y,10.14,88.29,133.3,2046.58,1947.1,95.14,1:22,0.7,65.4,66.6,39.2,33.5,-4.53,1.25,1.15,0.7,1.9824772,17.93,,,,,,,,,,,,,,,,,,,,,,
小林,5,2025/1/9,ChangeUp,N,-26.84,64.55,125.38,2126.26,1882.2,88.52,1:34,0.7,7.2,68.6,33.6,35.4,-6.12,1.93,1.07,0.74,2.1400204,27.72,,,,,,,,,,,,,,,,,,,,,,
小林,6,2025/1/9,ChangeUp,N,-27.93,50.21,121.7,2041.35,1915.5,93.84,1:36,0.7,3.8,70.8,34.7,37.9,-6.24,1.37,1.11,0.73,0,20.22,,,,,,,,,,,,,,,,,,,,,,
小林,7,2025/1/9,ChangeUp,N,25.71,106.09,125.97,2082.86,1828.7,87.8,1:36,0.8,32,59.3,31.6,34.3,-3.71,2.46,1.13,0.67,0,28.6,,,,,,,,,,,,,,,,,,,,,,
小林,8,2025/1/9,Fastball,Y,-9.24,54.67,130.41,2035.36,1935.3,95.08,1:20,0.9,41.7,43.6,39.2,33.4,-4.43,0.71,1.09,0.7,2.0467625,18.04,,,,,,,,,,,,,,,,,,,,,,
小林,9,2025/1/9,Fastball,Y,-0.77,100.11,133.4,2014.33,1721.4,85.46,1:34,0.6,0,0,30.1,32.1,-4.17,-0.75,1.18,0.72,0,31.28,,,,,,,,,,,,,,,,,,,,,,
小林,10,2025/1/9,Fastball,N,37.14,91.51,133.11,2029.47,1882.6,92.76,1:24,0.9,52.1,43.7,37,32.9,-2.85,1.21,1.15,0.73,1.9849434,21.93,,,,,,,,,,,,,,,,,,,,,,
小林,11,2025/1/9,ChangeUp,N,76.28,91.91,127.29,2037.8,1884.6,92.48,1:22,0.7,21.8,64.3,36.7,32,-2.46,2.44,1.1,0.79,0,22.36,,,,,,,,,,,,,,,,,,,,,,
小林,12,2025/1/9,Fastball,N,31.71,99.22,133.33,1953.13,1804.5,92.39,1:40,0.8,62.1,51.1,33.2,39.1,-3.29,1.52,1.08,0.75,1.5481644,22.5,,,,,,,,,,,,,,,,,,,,,,
小林,13,2025/1/9,ChangeUp,Y,24.26,81.47,123.6,2088.3,1963.5,94.02,1:28,1,35.8,35.3,36.9,35.1,-3.01,1.61,1.09,0.71,0,19.91,,,,,,,,,,,,,,,,,,,,,,
小林,14,2025/1/9,ChangeUp,N,31.16,72.66,124.47,2102.51,1929,91.75,1:36,0.7,-4.8,47.5,33.2,36.5,-3.1,2.77,1.07,0.69,0,23.44,,,,,,,,,,,,,,,,,,,,,,
小林,15,2025/1/9,Fastball,N,69.95,96.81,130.24,2071.15,1924.9,92.94,1:24,0.7,50.4,71.5,36.4,32.5,-2.55,1.6,1.15,0.69,0,21.66,,,,,,,,,,,,,,,,,,,,,,
小林,16,2025/1/9,ChangeUp,Y,1.02,92.73,122.6,2073.95,1980.8,95.51,1:20,0.8,44.3,47.4,39.8,32.9,-4.25,1.46,1.13,0.7,0,17.24,,,,,,,,,,,,,,,,,,,,,,
小林,17,2025/1/9,Fastball,N,-80.32,88.83,134.36,2082.76,2009.4,96.48,1:46,0.9,46.1,30.4,31.8,41.8,-6.5,1.47,1.14,0.71,1.9953365,15.25,,,,,,,,,,,,,,,,,,,,,,
小林,18,2025/1/9,ChangeUp,Y,-22.01,53.86,123,2021.2,1770.4,87.59,1:36,0.7,10.4,60.8,32.3,34.9,-5.69,1.46,1.13,0.75,2.1348686,28.85,,,,,,,,,,,,,,,,,,,,,,
小林,19,2025/1/9,ChangeUp,Y,-4.04,67.74,127.11,2062.39,1949.4,94.52,1:24,0.8,15.3,52,37.7,33.8,-4.58,1.98,1.1,0.71,0,19.05,,,,,,,,,,,,,,,,,,,,,,
小林,20,2025/1/9,Fastball,N,-13.52,36.49,128.37,2059.16,1942.8,94.35,1:24,0.8,15.9,53,41.5,36.6,-4.82,0.7,1.14,0.72,1.4943542,19.35,,,,,,,,,,,,,,,,,,,,,,
小林,21,2025/1/9,ChangeUp,Y,-21.46,50.12,126.85,2091.16,1955.6,93.52,1:22,0.7,3.3,54.6,38.1,33.1,-5.27,1.35,1.12,0.68,0,20.75,,,,,,,,,,,,,,,,,,,,,,
小林,22,2025/1/9,ChangeUp,N,31.49,116.51,127.33,2026.94,1924.3,94.94,1:26,0.8,24.4,53.6,36.7,33.9,-3.33,2.99,1.14,0.69,0,18.31,,,,,,,,,,,,,,,,,,,,,,
小林,23,2025/1/9,Fastball,Y,3.45,96.37,128.83,2095.72,1845.2,88.05,1:34,0.7,30.6,68.5,31.8,33.9,-4.72,1.99,1.13,0.64,0,28.3,,,,,,,,,,,,,,,,,,,,,,
小林,24,2025/1/9,Fastball,Y,4.15,89.67,129.28,2072.88,1942.9,93.73,1:20,0.7,-5.6,57.6,37.9,32.1,-4.46,3.06,1.11,0.69,0,20.4,,,,,,,,,,,,,,,,,,,,,,
小林,25,2025/1/9,ChangeUp,N,-32.21,136.37,124.56,2098.33,1972.2,93.99,1:22,0.7,88.1,46.5,38.7,33.5,-5.3,1.52,1.15,0.67,0,19.97,,,,,,,,,,,,,,,,,,,,,,
小林,26,2025/1/9,Fastball,Y,-24.36,94.5,129.53,2045.9,1915.2,93.61,1:36,0.8,46.3,53.2,34.6,38.7,-5.27,1.48,1.14,0.71,1.866085,20.59,,,,,,,,,,,,,,,,,,,,,,
小林,27,2025/1/9,ChangeUp,N,-19.06,123.11,127.55,2016.7,1780.9,88.31,1:34,0.8,29.7,59.4,31.8,34,-5.4,2.96,1.15,0.7,0,27.99,,,,,,,,,,,,,,,,,,,,,,
小林,28,2025/1/9,ChangeUp,N,-41.58,67.41,127.78,2043.38,1803.2,88.25,1:32,0.8,43.7,68.3,33.3,33.7,-6.57,0.99,1.15,0.86,0,28.06,,,,,,,,,,,,,,,,,,,,,,
小林,29,2025/1/9,ChangeUp,N,-21.82,129.99,125.84,2131.89,1980.2,92.88,1:36,0.8,63.9,43.1,34.1,37.2,-5.02,2.18,1.13,0.7,0,21.75,,,,,,,,,,,,,,,,,,,,,,
小林,30,2025/1/9,ChangeUp,N,0.04,111.79,126.07,2054.21,1813.8,88.3,1:36,0.8,13.6,47.2,31.8,34.5,-4.16,3.07,1.16,0.67,0,28,,,,,,,,,,,,,,,,,,,,,,
小林,31,2025/1/9,ChangeUp,Y,-11.6,90.36,127.23,2069.92,1928.7,93.18,1:16,0.7,-3.6,49.4,39.5,30.6,-4.8,2.91,1.15,0.7,0,21.29,,,,,,,,,,,,,,,,,,,,,,
小林,32,2025/1/9,Fastball,Y,-22.51,69.44,130.3,2073.76,1831.5,88.32,1:36,0.7,13.6,61.6,31.5,34.5,-5.57,1.76,1.14,0.7,0,27.97,,,,,,,,,,,,,,,,,,,,,,
小林,33,2025/1/9,ChangeUp,N,-56.06,66.29,125.13,2040,1836.7,90.03,1:36,0.8,29.5,58.5,32.2,35.9,-6.57,0.99,1.14,0.66,0,25.8,,,,,,,,,,,,,,,,,,,,,,
小林,34,2025/1/9,Fastball,Y,10.4,81.13,131.22,2041.06,1964.7,96.26,1:26,0.9,32.6,38.6,37.7,34.9,-3.37,1.45,1.13,0.65,2.0940723,15.72,,,,,,,,,,,,,,,,,,,,,,
小林,35,2025/1/9,Fastball,N,40.33,69.44,131.33,2032.11,1795.4,88.35,1:34,0.6,-19.2,54.2,32.2,34.6,-3.16,3.02,1.1,0.74,2.0026054,27.93,,,,,,,,,,,,,,,,,,,,,,
小林,36,2025/1/9,ChangeUp,N,36.9,39.93,122.2,2080.76,1938.7,93.17,1:24,0.7,-13.1,28.2,37.5,33.4,-2.22,2.08,1.06,0.69,0,21.29,,,,,,,,,,,,,,,,,,,,,,
小林,37,2025/1/9,Fastball,N,49.85,94.97,131.5,2106.94,1974.2,93.7,1:22,0.7,35.7,64.5,37.6,32.1,-3.12,1.98,1.12,0.71,0,20.45,,,,,,,,,,,,,,,,,,,,,,
小林,38,2025/1/9,ChangeUp,Y,-8.18,94.58,127.99,2036.62,1782.3,87.51,1:38,0.8,21.7,51,29.8,34.6,-4.64,2.35,1.11,0.68,0,28.94,,,,,,,,,,,,,,,,,,,,,,
小林,39,2025/1/9,Fastball,N,61.77,76.39,128.97,2058.56,1926.8,93.6,1:24,0.7,20.7,65.4,37.1,32.8,-2.78,1.42,1.14,0.68,0,20.61,,,,,,,,,,,,,,,,,,,,,,
小林,40,2025/1/9,ChangeUp,Y,20.23,71.23,127.12,2038.99,1907.9,93.57,1:22,0.8,15.1,57.4,37.4,32.7,-3.78,1.71,1.11,0.67,0,20.66,,,,,,,,,,,,,,,,,,,,,,
小林,41,2025/1/9,ChangeUp,N,78.25,103.18,127.92,2054.62,1926.9,93.78,1:26,0.7,51.4,72.9,36.9,34.9,-2.26,1.61,1.16,0.68,2.0394077,20.31,,,,,,,,,,,,,,,,,,,,,,
小林,42,2025/1/9,ChangeUp,Y,12.94,91.59,125.84,2064.31,1891.4,91.62,1:20,0.9,16.1,37.7,37.5,31.6,-3.51,1.8,1.17,0.65,0,23.62,,,,,,,,,,,,,,,,,,,,,,
小林,43,2025/1/9,ChangeUp,Y,23.49,88.19,125.13,2064.64,1847,89.46,1:36,0.7,6.9,65.6,32.3,35,-4.12,2.84,1.11,0.71,0,26.54,,,,,,,,,,,,,,,,,,,,,,
小林,44,2025/1/9,Fastball,N,-41.5,53.73,131.18,2126.93,1874.8,88.14,1:32,0.7,0.6,55.8,33.3,34.4,-6.13,1.71,1.12,0.73,2.1421566,28.18,,,,,,,,,,,,,,,,,,,,,,
小林,45,2025/1/9,ChangeUp,Y,-22.36,59.11,125.88,2099.69,1867.2,88.93,1:32,0.7,8.2,65,34.4,35.4,-5.77,1.56,1.13,0.73,2.034006,27.22,,,,,,,,,,,,,,,,,,,,,,
小林,46,2025/1/9,ChangeUp,Y,-23.08,80.7,126.23,2092.7,1870.1,89.36,1:32,0.8,13.8,60.4,33.7,34.4,-5.46,1.98,1.14,0.67,0,26.67,,,,,,,,,,,,,,,,,,,,,,
小林,47,2025/1/9,ChangeUp,Y,-21.1,88.53,125,2045.5,1898.6,92.82,1:34,0.8,30.3,52.5,34,36.3,-5.26,1.97,1.11,0.71,0,21.85,,,,,,,,,,,,,,,,,,,,,,
小林,48,2025/1/9,ChangeUp,Y,-9.04,76.28,126.78,2095.33,1951.4,93.13,1:16,0.8,19,50.9,39.6,30.9,-4.72,1.5,1.16,0.7,0,21.36,,,,,,,,,,,,,,,,,,,,,,
小林,49,2025/1/9,Fastball,Y,9.37,70.87,134.92,2056.42,1960.3,95.33,1:18,0.7,35.4,63.3,40.1,32.6,-4.4,1.14,1.15,0.7,1.9160099,17.59,,,,,,,,,,,,,,,,,,,,,,
小林,50,2025/1/9,Fastball,Y,-20.05,90.09,129.24,2094.12,1823.6,87.08,1:34,0.8,14.3,57.9,31.7,33.3,-5.32,2.11,1.17,0.69,0,29.45,,,,,,,,,,,,,,,,,,,,,,
小林,51,2025/1/9,ChangeUp,N,-41.99,102.12,124.71,2090.83,1929.2,92.27,1:22,0.9,34.5,37.6,37.8,32.4,-5.27,2.31,1.11,0.63,0,22.67,,,,,,,,,,,,,,,,,,,,,,
小林,52,2025/1/9,Fastball,Y,-2.73,64.59,128.17,2065.72,1957.2,94.75,1:18,0.7,20.8,59.5,39.6,31.6,-4.82,1.62,1.11,0.7,0,18.65,,,,,,,,,,,,,,,,,,,,,,
小林,53,2025/1/9,ChangeUp,N,-27.54,107.36,96.91,2077.36,1991.9,95.89,1:26,0.5,76.2,38.7,42.5,38.5,-4.9,1.81,0.97,0.54,0,16.49,,,,,,,,,,,,,,,,,,,,,,
小林,54,2025/1/9,ChangeUp,N,-41,97.14,127.19,2087.78,1847.2,88.48,1:34,0.7,1.4,56,32.9,34.3,-5.86,2.85,1.16,0.62,0,27.78,,,,,,,,,,,,,,,,,,,,,,
小林,55,2025/1/9,Fastball,N,-9.17,44.93,134.36,2104.07,1971.5,93.7,1:20,0.7,25.3,60.9,38.8,32.9,-5,0.61,1.13,0.69,2.023962,20.45,,,,,,,,,,,,,,,,,,,,,,
小林,56,2025/1/9,Fastball,N,-34.31,99.75,130.09,2028.73,1792.2,88.34,1:34,0.8,43.5,54.8,31.6,33.7,-5.5,1.41,1.17,0.62,0,27.94,,,,,,,,,,,,,,,,,,,,,,
小林,57,2025/1/9,Fastball,N,46.25,94.89,128.94,2060.03,1915,92.96,1:24,0.9,46.8,41,37.6,33.5,-2.27,1.36,1.14,0.68,2.0637512,21.62,,,,,,,,,,,,,,,,,,,,,,
